Chat#,Human Predict (Offer Name),Human Predict (Price),OfferNameDetectionPredict,Price Detection Predict (Offer Name),Price Detection Predict (Price),Accuracy (Offer Name Detection),Accuracy (Price Detection),Accuracy (Combined),transcript_id,account,rec_name (calls_list),rec_name (human) ,same rec flag,Summary (Human),call_type_desc (calls_list),call_type_desc (human),upgrade flag (human) ,"Conversation Lead (Customer Knows, Explore, Sales lead)",Unintended upgrade call  (Negative Business Affect),Personalized Conversation ,Contains questions on usage pattern. 
0,NON-SALES CALL (speed test) ,,HSD_TIER,NONE,29,-,-,-,10041519431551386351,8771401320001928,TV service provides choice and access anywhere,NON SALES,,Wifi in need of repair after recent upgrade. ,Repair,,,,,,
1,NON-SALES CALL,,VID/HSD/XH/CDV,NONE,28,-,-,-,23505598841550185660,8529201090125534,"Voice provides customizable, feature-rich service",NON SALES,,B2B about install Xfinity Home. ,DOJ Field Tech Service,,,,,,
2,NON-SALES CALL,124.99,VID/HSD/CDV (TRIPLEPLAY),"(VIDEO/HSD/CDV), (VIDEO/HSD/CDV/XM)",124.99,-,-,-,31700020911549746015,8535101870070318,Get a better TV package today,NON SALES,,Problem with billing after downgrade.,Downgrade,,,,,,
3,NON-SALES CALL (billing),,None,NONE,80,-,-,-,10027320231549994007,8535100280925814,Get a better TV package today,NON SALES,,Customer was unsure about why they got charged for repair.,Billing,,,,,,
4,Triple-Play (VID/HSD/CDV) ,124.99,VID/HSD/CDV (TRIPLEPLAY),"(VIDEO/HSD/XH), (VIDEO/HSD/XH/XM) ",100,1,0,0,10041205621551108265,8529100450030591,Get a better TV package today,Get a better TV package today,1,Customer thought they weren't getting channels they should but decided to upgrade to get them. ,X1,X1,1,explore,0,1,1
5,VID ONLY,90,VID,NONE,90,1,1,1,10026463411550765825,8529201760780543,Premium Channels bring the latest hits home,Less channels (retention),0,Called to prevent bill increase with plan expiring. Got cheaper plan.,Billing,Billing,0,sales,0,1,1
6,Triple-Play(VID/HSD/CDV),120,VID/HSD/CDV (TRIPLEPLAY),"(VIDEO/HSD/CDV), (VIDEO/HSD/CDV/XM)",120,1,1,1,10037157521550610392,8529200866119739,Get a better TV package today,Get a better TV package today,1,Customer called wanting to upgrade for more channels,Change Service,Change Service,1,explore,0,0,1
7,NON-SALES CALL (password reset),,XM/HSD,NONE,34,-,-,-,10039564961551121005,8529101730039881,TV service provides choice and access anywhere,NON SALES ,,Customer needed to reset password.,Wireless Gateway,,,,,,
8,Triple-Play(VID/HSD/CDV),124.99,VID/HSD/XM/CDV (TRIPLEPLAY),"(XH), (XH/XM), (VIDEO/CDV/XH), (VIDEO/XH/XM), (VIDEO/HSD/CDV/XH), (VIDEO/CDV/XH/XM), (CDV/XM)",24.99,,0,,10034120831550938826,8529100761163578,Get a better TV package today,Get a better TV package today,1,Customer called asking for promotions. Got better channels. ,Change Service,Change Service,1,sales,0,0,0
9,NON-SALES CALL (error message) ,,VID/HSD/CDV,NONE,0,-,-,-,10039480241550978032,8771101310803396,TV service provides choice and access anywhere,NON SALES,,Called about error message. ,X1,,,,,,
10,Triple-play (VID/HSD/CDV),95.95,VID/HSD/CDV (TRIPLEPLAY),"(VIDEO/HSD/CDV), (VIDEO/HSD/CDV/XM)",186.95,1,,,10024338221551288668,8529100780012939,Get a better TV package today,Get a better TV package today,1,Customer called because they thought bill wouldn't increase. Ended up upgrading with discount. ,Billing,Billing ,1,sales,1,0,0
11,HSD+XiTV,53,VID/HSD/CDV,"HSD/CDV, HSD/CDV/XM, HSD/CDV/XH)",60,0,,,10040048431551043596,8529101090138877,TV service provides choice and access anywhere,NON SALES,,Customer called because package addition wasn't showing up on account. ,Billing,,,,,,
12,NON-SALES CALL,,HSD/VID/CDV,NONE,119,-,,,10036375781551394864,8771100780657738,TV service provides choice and access anywhere,NON SALES,,Customer called asking if product was included with package. ,Repair,,,,,,
